ab;0 ab1 infl
abbau;0 abbau1 m1
abend;0 abend1 m1
aber;0 aber1 infl
abermals;0 abermals1 infl
abfassung;0 abfassung1 f17
abfeu;0 abfeuern1 v5
abgabe;0 abgabe1 f16
abgeb;0 abgeben1 vx
abgeordnete;0 abgeordneter1 m6;0 abgeordnete1 f19
abhängig;0 abhängig1 a1
abkomm;0 abkommen2 v1
abkommen;0 abkommen1 n22n
abkopplung;0 abkopplung1 f17
ablehn;0 ablehnen1 v1
ablehn;0 ablehnen1 v1
ablehnung;0 ablehnung1 f17
ableit;0 ableiten1 v2
ableit;0 ableiten1 v2
abnahme;0 abnahme1 f16
abrück;0 abrücken v1
absage;0 absage1 f16
absatz;0 absatz1 m1az
abschaff;0 abschaffen1 v1
abschaffung;0 abschaffung1 f17
abscheu;0 abscheu f17
abschliess;0 abschliessen1 vx
abschließ;0 abschliessen1 v3
abschluss;0 abschluss1 m1az
abschluß;0 abschluss1 m1az
absehen;0 absehen1 vx
absetz;0 absetzen1 v3
absicherung;0 absicherung1 f17
absicht;0 absicht1 f17
absichtlich;0 absichtlich1 a1
absolut;0 absolut1 a1
abstell;0 abstellen1 v1
abstimm;0 abstimmen1 v1
abstimmung;0 abstimmung1 f17
abstimmungsliste;0 abstimmungsliste1 f16
abteilung;0 abteilung1 f17
abtreibung;0 abtreibung1 f17
abwart;0 abwarten1 v2;0 abwart1 m1
abweichen;0 abweichen1 v1;0 abveichen2 v2
abziel;0 abzielen v1
acht;0 acht1 f17;0 acht2 f17;0 achten1 v2
achte;0 achte1 a1
achtung;0 achtung1 f17
achtzehn;0 achtzehn1 f17
administrativ;0 administrativ1 a1
akte;0 akte1 f16
akteur;0 akteur m1
aktion;0 aktion1 f17
aktionsbereich;0 aktionsbereich1 m1
aktionskatalog;0 aktionskatalog1 m1
aktionsnetz;0 aktionsnetz1 n20
aktionsplan;0 aktionsplan1 m1a
aktionsprogramm;0 aktionsprogramm1 n20
aktiv;0 aktiv1 a1
aktivität;0 aktivität1 f17
aktivposten;0 aktivposten m4n
aktuell;0 aktuell a1
akzeptanz;0 akzeptanz f17
akzeptier;0 akzeptieren1 v1
alarmier;0 alarmieren1 v1
all;0 all1 infl;0 all2 n20
alle;0 alle1 px
allein;0 allein1 infl
allerdings;0 allerding
allgemein;0 allgemein a1
allianz;0 allianz f17
allseitig;0 allseitig a1
alltäglich;0 alltäglich a1
als;0 als1 infl
also;0 also1 infl
alt;0 alt0 a1
alter;0 alter1 
alternativtext;0 alternativtext1 m1
altersgrenze;0 altersgrenze1 f16
am;1 Dativ Singular an1 infl
ambitioniert;0 ambitioniert1 a1
amerikanisch;0 amerikanisch1 a1
amsterdam;0 amsterdam1 x
amt;0 amt1 n21a
amtshilfe;0 amtshilfe1 f16
an;0 an1 infl
analysier;0 analysieren1 
ander;0 ander1 a1
andere;0 anderer1 m6;0 andere1 f19
andererseits;0 andererseits1 infl
andernfalls;0 andernfalls1 infl
anders;0 anders1 infl
andersdenkende;0 andersdenkender1 m6;0 andersdenkende1 f19
andeut;0 andeuten v2
androhung;0 androhung1 f17
anerkann;1 Präteritum anerkennen1 v1
anerkenn;1 Präsens anerkennen1 v1
anerkennenswert;0 anerkennenswert1 a1
anerkennung;0 anerkennung1 f17
anfang;0 anfang1 m1a
anfrage;0 anfrage1 f16
anführ;0 anführen1 v1
angeblich;0 angeblich1 a1
angeh;1 Präsens angehen1 v1
angehör;0 angehören1 v1;0 anhören1 v1
angelegenheit;0 angelegenheit f17
angenomm;0 annehmen1 vi 
angesicht;0 angesicht1 n20
angesichts;0 angesichts1 infl
angriff;1 Präteritum angreifen1 v1;0 angriff m1
angst
angstsituationen
anhaltender
anhebung
anhängern
anhängig
anklag;0 anklagen1
anklang
ankommt
ankunft
ankündig;0 ankündigen v1
anlauf;0 anlauf1 m1a;0 anlaufen1 vi
anlaufen
anleg;0 anlegen1 v1
anliegen
anlässlich
anmeld;0 anmelden1 v2
anmerkung
annahme
annehmbar
annehme
anordnung
anordnungen
ansatz
ansatzpunkte
anschauung
anschein
anschließen
anschläge
anschuldigungen
ansicht
ansichten
anspielungen
ansprech;0 ansprechen1 vi
anspricht
anspruch
anstands
anstatt
anstehen
anstehende
anstiften
anstreb;0 anstreben1 v1
anstrengung
anstrengungen
anteil
anteilnahme
anti
antidemokratischen
antidot
antifaschist
antifaschisten
antiken
antikommunist
antirassistische
antirassistischen
antisemiten
antisemitische
antisemitischer
antisemitismus
antrag
anträgen
antwort
antworten
anwachsen
anwend;0 anwenden1 v2
anwenden
anwendung
anwesend
anwächst
anzahl
anzugreifen
anzunehmen
anzupacken
anzuschliessen
anzusehen
appelliere
april
arbeit
arbeiten
arbeiter
arbeiterpartei
arbeitet
arbeitete
arbeitgeber
arbeitgeberbeiträge
arbeitgebern
arbeitnehmer
arbeitnehmerfeindliche
arbeitnehmern
arbeits
arbeitsaufwand
arbeitsbedingungen
arbeitsbeziehungen
arbeitsgruppe
arbeitsintensive
arbeitskosten
arbeitskräfte
arbeitslosenquoten
arbeitslosigkeit
arbeitsmarkt
arbeitsmitteln
arbeitspensum
arbeitsplatz
arbeitsplätzen
arbeitsrechtlichen
arbeitsrechtsbestimmungen
arbeitsschutz
arbeitsumstände
arbeitsunfälle
arbeitsunfällen
arbeitsverhältnis
arbeitszeit
arbeitszeiten
argumentation
armut
art
artikel
artikels
asbestprobleme
aspekte
asyl
asylantenheime
asylantrags
asylbewerber
asylbewerbern
asylpolitik
atmen
attentat
attentate
attentats
attentäter
attestiert
atxalandabaso
au
auch
auf
aufbau
aufbaut
aufbauwerk
aufblähungen
aufdringlichkeit
aufdrücken
auffassung
auffordern
aufforderung
aufgabe
aufgaben
aufgebaut
aufgeben
aufgefordert
aufgelisteten
aufgenommen
aufgeschlossen
aufgestellt
aufgestellten
aufgreift
aufgrund
aufhören
aufklärungs
aufmarschieren
aufmerksamkeit
aufnahmefähigkeit
aufnehmen
aufrechte
aufrüstung
aufs
aufschrei
aufschwung
aufschwungs
aufsteigen
aufstellung
aufstockung
auftreten
aufwand
aufweisen
aufweist
aufwendungen
aufzeigen
aufzubauen
aufzubieten
aufzudecken
aufzunehmen
aufzuregen
aufzustellen
aufzuzeigen
auge
augen
augenblick
augenmerk
aus
ausbau
ausbeutenden
ausbeuterischen
ausbeutung
ausbeutungsarbeitsverträgen
ausbeutungsmechanismen
ausbildung
ausbreitendes
ausbreitung
ausdehnen
ausdehnung
ausdruck
ausdrucksformen
ausdrücklich
ausdrückte
auseinandersetzung
ausführen
ausführungen
ausgangspunkt
ausgearbeitet
ausgebaut
ausgebeutet
ausgegangen
ausgegeben
ausgehen
ausgehend
ausgehenden
ausgeht
ausgelaufen
ausgenutzt
ausgerechnet
ausgereiften
ausgerichtet
ausgerottet
ausgesetzt
ausgesprochen
ausgesprochenen
ausgestaltet
ausgetragenen
ausgewiesen
ausgewogene
ausgezeichnete
ausgleich
ausgrenzung
aushöhlung
ausland
auslegungen
auslieferung
auslieferungsverfahren
ausländer
ausländerfeindlichkeit
ausländerhass
ausländern
ausländerpolitik
ausländerprobleme
ausmacht
ausmaß
ausmaße
ausmerzen
ausnahme
ausnahmegenehmigung
ausnahmsweise
ausnutzen
ausnutzt
ausreichend
ausrichtung
ausräumen
aussage
aussagekraft
aussahen
ausschließlich
ausschließlichen
ausschließlichkeitsanspruch
ausschluss
ausschuss
ausschussarbeiten
ausschusses
ausschusssitzungen
aussehende
aussenden
aussprach
aussprache
aussprechen
ausstellt
aussöhnung
austausch
austauschen
austreiben
ausufernder
ausweichmöglichkeiten
ausweitung
auswirken
auswirkung
auswirkungen
auszahlung
auszubauen
auszufallen
auszuführen
auszusenden
auszuüben
ausüben
ausübte
ausübung
authentische
autofahrer
autofreien
automatisch
autonomen
autonomes
autonomiestatut
autoritärer
autos
außen
außer
außerdem
außerordentlich
außerstande
b
bahnhof
baldige
balfe
balken
ballast
bannflüchen
baroness
baronin
basieren
basiert
basis
basken
baskenland
baskenlandes
baskenlands
baskisch
baskische
baskischen
bat
bauarbeiten
bauernstaates
baugerüste
bausektor
bayrou
beabsichtigt
beabsichtigten
beachten
beamten
beamter
beantrage
beantragen
beantragten
beantwortet
bearbeitung
beauftragt
bedarf
bedauerlich
bedauerlicherweise
bedauern
bedaure
bedenken
bedenkenswerte
bedeuten
bedeutendsten
bedeutet
bedeutung
bediensteten
bedient
bedingungen
bedingungslosen
bedroht
bedrohung
bedrückt
beeindrucken
beeinträchtigen
beeinträchtigung
beelzebub
beenden
beendet
befassen
befasst
befasste
befassung
befehlen
befinden
befindet
befolgt
befreundet
befugnis
befugnisse
befunden
befürworter
befürwortet
begangen
begangenen
begeben
begehen
beginn
beginnen
beginns
beginnt
begleitet
beglückwünschen
begonnen
begreifen
begrenzung
begrenzungen
begriff
begriffs
begründet
begründung
begründungen
begrüße
begrüßen
begrüßt
begünstigen
behandeln
behandelt
beharren
beharrlichkeit
beharrt
behauptet
behauptung
beheben
beherrschende
behindern
behinderten
behörden
bei
beibehalten
beide
beiden
beifall
beigefügten
beilegung
beileid
beim
bein
beinhaltet
beipflichten
beiseite
beispiel
beispiele
beispielen
beispielsweise
beitrag
beitragen
beitritt
beitrittsstatus
beiträge
beiträgt
beizutragen
bekannt
bekannten
bekennen
beklagen
beklagt
bekommen
bekräftigen
bekräftigt
bekräftigte
bekunden
bekundeten
bekämpfen
bekämpft
bekämpfung
beladen
belange
belastenden
beleidigt
belgien
beliebige
beliebigen
bemerkung
bemerkungen
bemühen
bemühungen
benachrichtigt
benachteiligten
benennen
benutzt
benutzung
benötigen
beobachten
beobachtenden
beobachtungsstelle
beobachtungsstellen
bequemer
beraten
beratung
beratungen
berechtigt
berechtigte
berechtigten
bereich
bereiche
bereichen
bereicherung
bereichs
bereit
bereiten
bereitet
bereitgestellt
bereits
bereitschaft
berge
bericht
berichten
berichterstatter
berichterstatterin
berichterstatters
berichts
beruf
berufliche
beruhen
beruhende
beruhigen
beruhigt
beruht
beruhte
berüchtigten
berücksichtigen
berücksichtigt
berücksichtigung
berühmt
bescheidener
beschert
beschimpft
beschlagnahme
beschließt
beschloss
beschlossen
beschlossenen
beschluss
beschlüsse
beschreiben
beschreiten
beschränken
beschränkt
beschworen
beschwören
beschäftigen
beschäftigt
beschäftigten
beschäftigung
beschäftigungs
beschäftigungsformen
beschäftigungsplans
beschäftigungspolitik
beschäftigungspolitischen
beseitigen
besiegen
besiegt
besitzen
besitzt
besonderen
besonderer
besonderes
besonders
besorgnis
besorgt
besser
besseren
besseres
best
bestand
bestandsaufnahme
bestandteil
beste
bestehen
bestehende
besteht
besten
besteuerung
bestimmen
bestimmt
bestimmte
bestimmten
bestimmter
bestimmung
bestimmungen
bestmögliche
bestrafen
bestraft
bestrafung
bestrebt
bestrebungen
beständigen
bestätigen
bestätigt
bestürzend
bestürzung
beteiligen
beteiligt
betone
betont
betrachten
betrachtet
betrachteten
betrachtung
betreffen
betrifft
betroffenen
betrug
beträchtliche
bett
beugen
beurteilen
beurteilung
bevölkerung
bevölkerungen
bevölkerungsgruppen
bevölkerungsschichten
bewahren
bewahrt
bewahrung
bewegenden
beweggründe
beweglichkeit
bewegt
bewegung
beweis
beweisen
bewiesen
bewirken
bewirtschaftung
bewusst
bewältigung
bezahlung
bezeichnend
bezeichnet
bezeichnete
bezeichnung
bezichtigt
beziehen
bezieht
beziehungen
beziehungsweise
bezug
bi
bieten
bietet
bilaterale
bilateralen
bild
bilden
bildet
bildung
bildungseinrichtungen
bildungspolitik
billig
billige
billigen
billigt
bin
binnengrenzen
binnenmarkt
bip
bis
bisher
bislang
bitte
bitten
bitter
bitteren
bittet
bittgebeten
blamiert
bleiben
bleibt
blick
blieben
blinde
blinden
blockade
blockieren
blutigem
boden
bombe
bomben
bombenleger
bonino
borges
botschaft
boumediene
brachte
brachten
brandanschläge
brauch
brauchen
braucht
brauchten
breit
breite
breiten
breitet
bremst
brie
brigaden
brillanten
bringe
bringen
bringt
britische
britischen
brust
brutalen
bruttoresultate
brüssel
brüsseler
buchstaben
buchstäblich
bundesländer
bundesländern
bundesregierung
bundesrepublik
bundestag
bundestagsfraktion
bzw
böse
bürger
bürgerinitiativen
bürgerinnen
bürgern
bürgernahes
bürgerrechte
bürgerschaft
bürokratie
chance
charta
charybdis
chile
chimäre
china
christdemokraten
christlich
computer
computerkriminalität
couragierte
da
dabei
dachten
dadurch
dafür
dagegen
daher
damalige
damals
damen
damit
danach
dank
danke
danken
dann
dar
daran
darauf
daraus
darf
dargelegt
darin
darstellen
darstellt
darstellung
darum
darunter
darzulegen
darüber
das
daseinsberechtigung
dass
dastehen
daten
datenaufbewahrung
datenbank
datenschutzes
datenschutzvorschriften
datum
dauer
dauerhaft
dauerhafte
dauern
dauert
david
davon
davor
dazu
de
debatte
debatten
debattierte
deckmantel
definieren
definition
definitionen
delegation
dem
dementsprechend
demnächst
demokrat
demokratie
demokratisch
demonstrieren
den
denen
denjenigen
denk
denke
denken
denkt
denn
dennoch
denselben
denunziert
der
derartige
derartiger
deren
derer
dergestalt
dergleichen
derinternationalen
derjenigen
derselben
derzeit
derzeitigen
derzufolge
des
desgleichen
deshalb
dessau
dessen
destabilisieren
deswegen
detail
detaillierte
details
deutlich
deutliche
deutlichen
deutsch
deutsche
deutschen
deutsches
deutschland
deutschlands
dezember
dezidierte
dialog
dialogs
diamantopoulou
die
diejenigen
dienen
diener
diensten
diensthabender
dienstleistungen
dienstleistungsbereich
dienststellen
dient
dies
diesbezüglich
diesbezüglichen
diese
dieselbe
diesem
diesen
dieser
dieses
diesmal
diffamiert
diffamierung
differenzen
digitalen
diktatur
diktiert
dimension
dimensionen
dinge
diplomatie
direkten
direktes
direktive
diskriminierung
diskriminierungsgesetze
diskurs
diskussion
diskussionen
diskussionsgegenstandes
diskussionsgegenstands
diskutieren
diskutiert
distanz
disziplin
diversen
dm
doch
dogmen
dokument
dokumentation
dokumente
dokumentiert
donnerstag
doppelt
dorf
dort
drama
dramatisch
dramatischen
dramatisieren
drangsaliert
draußen
drei
dreiviertelstunde
dreißig
dringen
dringend
dringende
dringendes
dringlich
dringlichkeit
dritte
dritten
drittens
drittländern
drittstaaten
drogen
drogenhandel
drogenhandels
drogenkonsums
drogenkriminalität
drogensucht
drogensüchtigen
droht
drohung
druck
drücken
drückte
dublin
dubliner
dulden
duldend
dummheit
dunkel
dunkle
durch
durchaus
durchführung
durchführungsbefugnisse
durchgeführt
durchgeführten
durchlaufen
durchringen
durchs
durchschauen
durchschnitt
durchsetzung
durchsetzungsorgan
durchzuführen
durchzusetzen
dynamik
dämpfe
dänemark
dänische
dänischen
dürfen
dürfte
dürften
düsseldorf
düster
ea
eben
ebene
ebenfalls
ebenso
ebnet
echte
echten
edlen
edles
efa
effektiven
effektiver
effektivität
effiziente
effizienten
effizienz
eg
egoismus
egoistischen
ehegatten
ehemaligen
eher
ehrenamtliche
ehrenhafter
ehrlich
ehrt
ehrwürdige
eigene
eigenen
eigenschaft
eigentlich
ein
einander
einbeziehen
einbezieht
einbeziehung
einbezogen
einbringen
eindeutig
eindeutigen
eindringlich
eine
einem
einen
einer
einerseits
eines
einfach
einfache
einfachen
einfluss
einfrieren
einführung
eingearbeitet
eingebracht
eingebunden
eingeführt
eingegangen
eingegangenen
eingehalten
eingehen
eingekerkerten
eingeladen
eingelöst
eingereicht
eingereichten
eingereist
eingesetzt
eingestehen
eingetreten
eingetroffen
eingreifen
einhaltung
einhandelt
einheimische
einheimischen
einheit
einheitliche
einige
einigen
einiger
einigkeit
einigung
einkehrt
einkommen
einleitend
einleitenden
einmal
einordnen
einreichen
einreicher
einrichtung
einrichtungen
eins
einschleusung
einschließlich
einschließt
einschränkt
einsehen
einsetzen
einstellung
einstellungen
eintreffen
eintrifft
eintritt
einverstanden
einwanderer
einwanderung
einwände
einzelheiten
einzelne
einzelnen
einzelstaatlichen
einziehen
einzigartigen
einzige
einziger
einziges
einzubeziehen
einzudämmen
einzufügen
einzuführen
einzugehen
einzuordnen
einzurichten
einzusehen
einzusetzen
einzustellen
ejido
el
elektronik
elektronische
elektronischen
element
elementarsten
elende
eltern
embargo
empfehlung
empfehlungen
empfindet
empörung
en
ende
endgültige
endgültigen
endlich
energie
energisch
energische
energischere
engagement
engagements
engagiert
enger
engere
engeren
englisch
enorm
enorme
entbunden
entdeckung
entfalten
entfernt
entgegengebrachte
entgehen
enthalten
enthaltenen
entlassung
entlohnungsbedingungen
entrichten
entsagen
entsagt
entscheiden
entscheidenden
entscheidendes
entscheidung
entscheidungen
entschieden
entschiedenste
entschließen
entschließung
entschließungen
entschließungsantrag
entschließungsantrags
entschließungsanträge
entschlossen
entschlossenheit
entschluss
entschlägt
entschuldigen
entschuldigung
entschuldigungen
entsetzlicher
entsorgen
entsprechend
entsprechenden
entspricht
entstanden
entsteht
entstehung
enttäuschung
entweder
entwerfen
entwickeln
entwickelt
entwickelte
entwickelten
entwicklung
entwicklungen
entwicklungsetappe
entwicklungsländer
entwicklungsländern
entwicklungsmöglichkeiten
entwicklungspolitik
entwicklungsprojekten
entwicklungsprozess
entwicklungsstrategie
entwicklungsstrategien
entwicklungszusammenarbeit
entwurf
entziehen
entzieht
entzogen
ep
er
erachtens
erarbeitet
erarbeitete
erbarmungslosen
erbracht
erbärmlicher
erde
erdenkliche
ereignet
ereignis
ereignisse
erfahren
erfahrung
erfahrungen
erfahrungsaustausch
erfasst
erfolg
erfolge
erfolgen
erfolgenden
erfolgreich
erfolgreichen
erfolgreicher
erfolgt
erfolgversprechend
erforderlich
erfordernissen
erfordert
erforschung
erfuhr
erfüllen
erfüllt
ergab
ergebnis
ergebnisse
ergeht
ergibt
ergreifen
ergriffen
ergriffenen
ergänzte
erhalt
erhalten
erhaltung
erheben
erheblich
erhebt
erhielt
erhielten
erhoben
erhöhen
erhöht
erhören
erinnere
erinnern
erinnert
erinnerung
erkennen
erkläre
erklären
erklärt
erklärung
erklärungen
erkundet
erkämpfen
erlangte
erlass
erlassen
erlauben
erlaubt
erlebe
erleben
erlebt
erleichterung
erleiden
erlernt
erlittene
erloschen
erläutert
ermittelt
ermittlungen
ermittlungsteams
ermittlungsverfahrens
ermorden
ermordet
ermordung
ermächtigen
ermöglichen
ermöglicht
erneut
erneute
erneuten
ernst
ernsten
ernsthaft
erosion
erregen
erregung
erreichen
erreicht
erreichte
erreichung
erreur
errichten
errungenschaften
erscheinung
erscheinungen
erscheinungsformen
erschienenen
erschreckend
erschwert
ersehnt
erst
erstaunliches
erste
erstellung
ersten
erstens
erster
ersuche
ersuchen
ersucht
erteilen
erteilt
ertragen
ertrinken
erträgen
erwarten
erwartungen
erweisen
erweiterung
erweiterungspolitik
erwerbstätigkeit
erwiesen
erwirtschaftet
erwirtschafteten
erwähnen
erwähnenswert
erwähnt
erwähnte
erwähnung
erzieht
erziehung
erzielbar
erzielen
erzielt
erzähle
erzählte
eröffnet
eröffnete
eröffnung
es
esteve
eta
etappe
ethisch
ethnische
ethnischen
ethnischer
etikettiert
etwa
etwas
eu
euro
eurodac
europa
europaabgeordnete
europaabgeordneten
europarat
europarates
europas
europaweite
europaweiten
europol
europäer
europäerin
europäische
europäischen
europäischer
europäisches
eusko
evans
evp
ewige
existenz
existenziell
exklusive
exkurs
explosionsartigen
externalisierung
extreme
extremen
extremismus
extremist
extremistischen
fachkenntnisse
facto
fahndungs
fahren
fahrradverkäufer
fakten
faktisch
faktor
faktoren
faktum
fall
falle
fallen
falsch
falsche
falsches
familie
familien
faschismus
faschisten
faschistischen
faschistoid
faschistoides
fassen
fauna
februar
fehlende
fehler
fehlschlägt
fehlt
feierlichen
feige
feigheit
feira
fern
ferner
ferrer
fertiggestellt
fest
festen
fester
festgehalten
festgelegt
festgelegte
festgestellt
festigen
festlegen
festlegung
feststellen
feststellte
festzulegen
feuereinstellung
fiel
finanzen
finanzgeschäfte
finanziell
finanzielle
finanziert
finanzierung
finanzminister
finde
finden
findenden
findet
fingerabdrucksystems
fingerabdrücke
fingerabdrücken
finnischen
fiori
flagge
flexibilisierung
flexibilität
flexiblere
flora
flöhen
flüchtlinge
flüchtlingen
flüchtlingsstatus
flügel
folgen
folgendem
folgenden
folgender
folglich
folgt
fontaine
forcieren
ford
fordere
fordern
fordert
forderung
forderungen
form
formel
formen
formuliert
formulierten
formulierung
forschung
fort
fortbestehen
